C04 Camera-Off settle samples started: Mon Jul 20 09:24:02 PDT 2026
cameraEnabled: False
timestamp | elapsed cpu_percent rss_kb vsz_kb state
2026-07-20 09:24:02 | 10:04 55.9 199872 435835600 S
2026-07-20 09:24:03 | 10:05 55.6 199872 435835600 S
2026-07-20 09:24:04 | 10:06 58.6 199856 435835600 S
2026-07-20 09:24:05 | 10:07 55.1 198480 435835600 R
2026-07-20 09:24:06 | 10:08 56.7 195408 435835600 S
2026-07-20 09:24:07 | 10:09 55.8 195424 435835600 S
2026-07-20 09:24:08 | 10:10 54.9 195424 435835600 R
2026-07-20 09:24:09 | 10:11 55.2 195424 435835600 R
2026-07-20 09:24:10 | 10:12 54.0 195408 435835600 S
2026-07-20 09:24:11 | 10:13 55.0 195424 435835600 S
2026-07-20 09:24:12 | 10:14 54.6 195440 435835600 S
2026-07-20 09:24:13 | 10:15 54.3 195440 435835600 S
2026-07-20 09:24:14 | 10:16 55.9 195424 435835600 R
2026-07-20 09:24:15 | 10:17 54.4 195408 435835600 R
2026-07-20 09:24:16 | 10:18 55.5 195376 435835600 R
2026-07-20 09:24:17 | 10:19 52.5 195296 435835600 S
2026-07-20 09:24:18 | 10:20 54.6 131808 435835600 S
2026-07-20 09:24:19 | 10:21 51.3 126352 435835600 S
2026-07-20 09:24:20 | 10:22 50.8 112464 435835600 R
2026-07-20 09:24:21 | 10:23 49.3 112496 435835600 R
